Sample in Buffer,Sample in Window,TRIGGER,ad_in_IBUF[7:0],FRE1_index[15:0]
618,618,0,124,100
619,619,0,124,100
620,620,0,124,100
621,621,0,124,100
622,622,0,124,100
623,623,0,124,100
624,624,0,124,100
625,625,0,124,100
626,626,0,124,100
627,627,0,124,100
628,628,0,124,100
629,629,0,124,100
630,630,0,124,100
631,631,0,124,100
632,632,0,124,100
633,633,0,124,100
634,634,0,124,100
635,635,0,124,100
636,636,0,124,100
637,637,0,124,100
638,638,0,124,100
639,639,0,124,100
640,640,0,124,100
641,641,0,124,100
642,642,0,124,100
643,643,0,124,100
644,644,0,124,100
645,645,0,124,100
646,646,0,124,100
647,647,0,124,100
648,648,0,124,100
649,649,0,124,100
650,650,0,124,100
651,651,0,124,100
652,652,0,124,100
653,653,0,124,100
654,654,0,124,100
655,655,0,124,100
656,656,0,124,100
657,657,0,124,100
658,658,0,124,100
659,659,0,124,100
660,660,0,124,100
661,661,0,124,100
662,662,0,124,100
663,663,0,124,100
664,664,0,124,100
665,665,0,124,100
666,666,0,124,100
667,667,0,124,100
668,668,0,124,100
669,669,0,124,100
670,670,0,124,100
671,671,0,124,100
672,672,0,124,100
673,673,0,124,100
674,674,0,124,100
675,675,0,124,100
676,676,0,124,100
677,677,0,124,100
678,678,0,124,100
679,679,0,124,100
680,680,0,124,100
681,681,0,124,100
682,682,0,124,100
683,683,0,124,100
684,684,0,124,100
685,685,0,124,100
686,686,0,124,100
687,687,0,124,100
688,688,0,124,100
689,689,0,124,100
690,690,0,124,100
691,691,0,124,100
692,692,0,124,100
693,693,0,124,100
694,694,0,124,100
695,695,0,124,100
696,696,0,124,100
697,697,0,124,100
698,698,0,124,100
699,699,0,124,100
700,700,0,124,100
701,701,0,124,100
702,702,0,124,100
703,703,0,124,100
704,704,0,124,100
705,705,0,124,100
706,706,0,124,100
707,707,0,124,100
708,708,0,124,100
709,709,0,124,100
710,710,0,124,100
711,711,0,124,100
712,712,0,124,100
713,713,0,124,100
714,714,0,124,100
715,715,0,124,100
716,716,0,124,100
717,717,0,124,100
718,718,0,124,100
719,719,0,124,100
720,720,0,124,100
721,721,0,124,100
722,722,0,124,100
723,723,0,124,100
724,724,0,124,100
725,725,0,124,100
726,726,0,124,100
727,727,0,124,100
728,728,0,124,100
729,729,0,124,100
730,730,0,124,100
731,731,0,124,100
732,732,0,124,100
733,733,0,124,100
734,734,0,124,100
735,735,0,124,100
736,736,0,124,100
737,737,0,124,100
738,738,0,124,100
739,739,0,124,100
740,740,0,124,100
741,741,0,124,100
742,742,0,124,100
743,743,0,124,100
744,744,0,124,100
745,745,0,124,100
746,746,0,124,100
747,747,0,124,100
748,748,0,124,100
749,749,0,124,100
750,750,0,124,100
751,751,0,124,100
752,752,0,124,100
753,753,0,124,100
754,754,0,124,100
755,755,0,124,100
756,756,0,124,100
757,757,0,124,100
758,758,0,124,100
759,759,0,124,100
760,760,0,124,100
761,761,0,124,100
762,762,0,124,100
763,763,0,124,100
764,764,0,124,100
765,765,0,124,100
766,766,0,124,100
767,767,0,124,100
768,768,0,124,100
769,769,0,124,100
770,770,0,124,100
771,771,0,124,100
772,772,0,124,100
773,773,0,124,100
774,774,0,124,100
775,775,0,124,100
776,776,0,124,100
777,777,0,124,100
778,778,0,124,100
779,779,0,124,100
780,780,0,124,100
781,781,0,124,100
782,782,0,124,100
783,783,0,124,100
784,784,0,124,100
785,785,0,124,100
786,786,0,124,100
787,787,0,124,100
788,788,0,124,100
789,789,0,124,100
790,790,0,124,100
791,791,0,124,100
792,792,0,124,100
793,793,0,124,100
794,794,0,124,100
795,795,0,124,100
796,796,0,124,100
797,797,0,124,100
798,798,0,124,100
799,799,0,124,100
800,800,0,124,100
801,801,0,124,100
802,802,0,124,100
803,803,0,124,100
804,804,0,124,100
805,805,0,124,100
806,806,0,124,100
807,807,0,124,100
808,808,0,124,100
809,809,0,124,100
810,810,0,124,100
811,811,0,124,100
812,812,0,124,100
813,813,0,124,100
814,814,0,124,100
815,815,0,124,100
816,816,0,124,100
817,817,0,124,100
818,818,0,124,100
819,819,0,124,100
820,820,0,124,100
821,821,0,124,100
822,822,0,124,100
823,823,0,124,100
824,824,0,124,100
825,825,0,124,100
826,826,0,124,100
827,827,0,124,100
828,828,0,124,100
829,829,0,124,100
830,830,0,124,100
831,831,0,124,100
832,832,0,124,100
833,833,0,124,100
834,834,0,124,100
835,835,0,124,100
836,836,0,124,100
837,837,0,124,100
838,838,0,124,100
839,839,0,124,100
840,840,0,124,100
841,841,0,124,100
842,842,0,124,100
843,843,0,124,100
844,844,0,124,100
845,845,0,124,100
846,846,0,124,100
847,847,0,124,100
848,848,0,124,100
849,849,0,124,100
850,850,0,124,100
851,851,0,124,100
852,852,0,124,100
853,853,0,124,100
854,854,0,124,100
855,855,0,124,100
856,856,0,124,100
857,857,0,124,100
858,858,0,124,100
859,859,0,124,100
860,860,0,124,100
861,861,0,124,100
862,862,0,124,100
863,863,0,124,100
864,864,0,124,100
865,865,0,124,100
866,866,0,124,100
867,867,0,124,100
868,868,0,124,100
869,869,0,124,100
870,870,0,124,100
871,871,0,124,100
872,872,0,124,100
873,873,0,124,100
874,874,0,124,100
875,875,0,124,100
876,876,0,124,100
877,877,0,124,100
878,878,0,124,100
879,879,0,124,100
880,880,0,124,100
881,881,0,124,100
882,882,0,124,100
883,883,0,124,100
884,884,0,124,100
885,885,0,124,100
886,886,0,124,100
887,887,0,124,100
888,888,0,124,100
889,889,0,124,100
890,890,0,124,100
891,891,0,124,100
892,892,0,124,100
893,893,0,124,100
894,894,0,124,100
895,895,0,124,100
896,896,0,124,100
897,897,0,124,100
898,898,0,124,100
899,899,0,124,100
900,900,0,124,100
901,901,0,124,100
902,902,0,124,100
903,903,0,124,100
904,904,0,124,100
905,905,0,124,100
906,906,0,124,100
907,907,0,124,100
908,908,0,124,100
909,909,0,124,100
910,910,0,124,100
911,911,0,124,100
912,912,0,124,100
913,913,0,124,100
914,914,0,124,100
915,915,0,124,100
916,916,0,124,100
917,917,0,124,100
918,918,0,124,100
919,919,0,124,100
920,920,0,124,100
921,921,0,124,100
922,922,0,124,100
923,923,0,124,100
924,924,0,124,100
925,925,0,124,100
926,926,0,124,100
927,927,0,124,100
928,928,0,124,100
929,929,0,124,100
930,930,0,124,100
931,931,0,124,100
932,932,0,124,100
933,933,0,124,100
934,934,0,124,100
935,935,0,124,100
936,936,0,124,100
937,937,0,124,100
938,938,0,124,100
939,939,0,124,100
940,940,0,124,100
941,941,0,124,100
942,942,0,124,100
943,943,0,124,100
944,944,0,124,100
945,945,0,124,100
946,946,0,124,100
947,947,0,124,100
948,948,0,124,100
949,949,0,124,100
950,950,0,124,100
951,951,0,124,100
952,952,0,124,100
